state_code,district_number,rep_name,rep_audio_url
IA,2,Ashley Hinson,/n400-audio/State/Iowa/House of rep/2nd/Ashley_Hinson.mp3
IA,3,Zachary Nunn,/n400-audio/State/Iowa/House of rep/3rd/Zachary_Nunn.mp3
IA,4,Randy Feenstra,/n400-audio/State/Iowa/House of rep/4th/Randy_Feenstra.mp3
ID,1,Russ Fulcher,/n400-audio/State/Idaho/House of rep/1st/Russ_Fulcher.mp3
ID,2,Michael Simpson,/n400-audio/State/Idaho/House of rep/2nd/Michael_Simpson.mp3
IL,1,Jonathan Jackson,/n400-audio/State/Illinois/House of rep/1st/Jonathan_Jackson.mp3
IL,2,Robin Kelly,/n400-audio/State/Illinois/House of rep/2nd/Robin_Kelly.mp3
IL,3,Delia Ramirez,/n400-audio/State/Illinois/House of rep/3rd/Delia_Ramirez.mp3
IL,4,Jesus Garcia,/n400-audio/State/Illinois/House of rep/4th/Jesus_Garcia.mp3
IL,5,Mike Quigley,/n400-audio/State/Illinois/House of rep/5th/Mike_Quigley.mp3
IL,6,Sean Casten,/n400-audio/State/Illinois/House of rep/6th/Sean_Casten.mp3
IL,7,Danny Davis,/n400-audio/State/Illinois/House of rep/7th/Danny_Davis.mp3
IL,8,Raja Krishnamoorthi,/n400-audio/State/Illinois/House of rep/8th/Raja_Krishnamoorthi.mp3
IL,9,Janice Schakowsky,/n400-audio/State/Illinois/House of rep/9th/Janice_Schakowsky.mp3
IL,10,Bradley Schneider,/n400-audio/State/Illinois/House of rep/10th/Bradley_Schneider.mp3
IL,11,Bill Foster,/n400-audio/State/Illinois/House of rep/11th/Bill_Foster.mp3
IL,12,Mike Bost,/n400-audio/State/Illinois/House of rep/12th/Mike_Bost.mp3
IL,13,Nikki Budzinski,/n400-audio/State/Illinois/House of rep/13th/Nikki_Budzinski.mp3
IL,14,Lauren Underwood,/n400-audio/State/Illinois/House of rep/14th/Lauren_Underwood.mp3
IL,15,Mary Miller,/n400-audio/State/Illinois/House of rep/15th/Mary_Miller.mp3
IL,16,Darin LaHood,/n400-audio/State/Illinois/House of rep/16th/Darin_LaHood.mp3
IL,17,Eric Sorensen,/n400-audio/State/Illinois/House of rep/17th/Eric_Sorensen.mp3
IN,1,Frank Mrvan,/n400-audio/State/Indiana/House of rep/1st/Frank_Mrvan.mp3
IN,2,Rudy Yakym,/n400-audio/State/Indiana/House of rep/2nd/Rudy_Yakym.mp3
IN,3,Marlin Stutzman,/n400-audio/State/Indiana/House of rep/3rd/Marlin_Stutzman.mp3
IN,4,James Baird,/n400-audio/State/Indiana/House of rep/4th/James_Baird.mp3
IN,5,Victoria Spartz,/n400-audio/State/Indiana/House of rep/5th/Victoria_Spartz.mp3
IN,6,Jefferson Shreve,/n400-audio/State/Indiana/House of rep/6th/Jefferson_Shreve.mp3
